open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,date
1646092800000.0,43160.0,43750.0,43155.68,43560.0,3476.11347,1646096399999.0,150929685.993371,92781.0,1884.9501,81846638.7718655,0.0,2022-03-01 01:59:59.999
1646096400000.0,43560.01,43630.09,43222.22,43259.9,2309.88251,1646099999999.0,100143196.7912608,71876.0,1085.15298,47032081.3827433,0.0,2022-03-01 02:59:59.999
1646100000000.0,43259.89,43292.6,42951.84,43160.01,2359.88603,1646103599999.0,101741821.6837487,65992.0,1172.8728,50567304.8041845,0.0,2022-03-01 03:59:59.999
1646103600000.0,43160.01,43180.0,42855.2,43147.71,1759.18367,1646107199999.0,75727847.5181108,61242.0,962.85332,41449785.3280158,0.0,2022-03-01 04:59:59.999
1646107200000.0,43147.71,43400.0,43073.67,43336.26,1555.73855,1646110799999.0,67282098.5489597,49198.0,867.66635,37524110.2051885,0.0,2022-03-01 05:59:59.999
1646110800000.0,43336.26,43396.12,43145.6,43210.25,1017.16761,1646114399999.0,43980799.0900494,37587.0,422.10122,18253124.554908,0.0,2022-03-01 06:59:59.999
1646114400000.0,43210.26,43484.16,43040.15,43453.28,1605.44794,1646117999999.0,69495971.4625352,46727.0,833.64329,36097571.8382606,0.0,2022-03-01 07:59:59.999
1646118000000.0,43453.29,43562.35,43288.69,43492.96,1494.76974,1646121599999.0,64939107.885107,48131.0,726.6535,31573785.0736076,0.0,2022-03-01 08:59:59.999
1646121600000.0,43492.96,43716.69,43310.85,43492.24,2487.1732,1646125199999.0,108184972.8672389,72770.0,1208.09888,52547506.8885068,0.0,2022-03-01 09:59:59.999
1646125200000.0,43492.24,43500.85,43138.16,43258.34,1832.69788,1646128799999.0,79402238.1995629,61218.0,777.6379,33690242.1997907,0.0,2022-03-01 10:59:59.999
1646128800000.0,43258.33,43584.0,42809.98,43578.87,2891.98414,1646132399999.0,125018829.9140463,76749.0,1365.40754,59069845.2779589,0.0,2022-03-01 11:59:59.999
1646132400000.0,43578.88,43887.0,43350.0,43609.96,2747.55139,1646135999999.0,119761082.3226287,83704.0,1496.19752,65224222.2145107,0.0,2022-03-01 12:59:59.999
1646136000000.0,43609.96,44689.8,43574.9,44640.38,6595.2361,1646139599999.0,291934611.3022446,177221.0,3538.89115,156578478.9571675,0.0,2022-03-01 13:59:59.999
1646139600000.0,44641.01,44949.0,44416.04,44416.04,5516.1806,1646143199999.0,246325902.8708163,166082.0,2406.76348,107472041.9110056,0.0,2022-03-01 14:59:59.999
1646143200000.0,44416.05,44664.19,43717.57,43808.86,4661.3274,1646146799999.0,205981784.9907524,154671.0,2239.80814,98992341.0618615,0.0,2022-03-01 15:59:59.999
1646146800000.0,43808.86,44073.0,43350.0,43643.69,4286.14814,1646150399999.0,187345072.7841418,117726.0,2152.78141,94104427.5179099,0.0,2022-03-01 16:59:59.999
1646150400000.0,43643.69,44078.65,43111.46,43385.53,3407.3132,1646153999999.0,148393858.4904134,102040.0,1667.11412,72632458.6947396,0.0,2022-03-01 17:59:59.999
1646154000000.0,43385.54,43850.0,43240.23,43643.84,2322.2871,1646157599999.0,101040076.3196565,74948.0,1348.13061,58654440.1681657,0.0,2022-03-01 18:59:59.999
1646157600000.0,43643.85,43881.6,43420.77,43803.01,1521.90331,1646161199999.0,66447686.4133759,57943.0,774.00497,33797852.0026404,0.0,2022-03-01 19:59:59.999
1646161200000.0,43803.01,44063.22,43664.36,43719.49,1534.04139,1646164799999.0,67250592.6801761,52070.0,766.63385,33607156.4015393,0.0,2022-03-01 20:59:59.999
1646164800000.0,43719.49,44102.61,43684.16,44084.63,1701.66423,1646168399999.0,74734583.4246528,54884.0,840.42348,36912450.4477844,0.0,2022-03-01 21:59:59.999
1646168400000.0,44084.63,44400.1,43731.54,43882.75,2075.01917,1646171999999.0,91332471.5862498,63100.0,1115.81745,49129658.2597668,0.0,2022-03-01 22:59:59.999
1646172000000.0,43882.76,44219.0,43758.33,44156.77,952.38333,1646175599999.0,41929900.2526279,33977.0,427.66978,18825599.9552758,0.0,2022-03-01 23:59:59.999
1646175600000.0,44156.77,44506.65,44057.49,44421.2,1631.99863,1646179199999.0,72286830.302593,44234.0,856.26701,37937339.091077,0.0,2022-03-02 00:59:59.999
1646179200000.0,44421.2,44750.0,43924.23,44280.0,3188.03681,1646182799999.0,141332644.0790895,85995.0,1633.94934,72449376.3005149,0.0,2022-03-02 01:59:59.999
1646182800000.0,44280.0,44390.4,43819.97,44027.69,2052.29966,1646186399999.0,90379818.2745786,60151.0,1040.50982,45814773.0204504,0.0,2022-03-02 02:59:59.999
